Geography,Date,Democrat,Republican,Pollster,Sample Size
Pennsylvania,9/6/2024,45%,36%,co/efficient,889
Pennsylvania,9/6/2024,48%,41%,YouGov,1078
Wisconsin,9/6/2024,49%,43%,co/efficient,917
Wisconsin,9/6/2024,51%,43%,YouGov,946
Michigan,9/6/2024,39%,38%,co/efficient,931
Michigan,9/6/2024,48%,41%,YouGov,1077
Washington,9/6/2024,55%,33%,Elway Research,403
Missouri,9/5/2024,37%,52%,Remington Research Group,816
Ohio,9/5/2024,46%,44%,Emerson College,945
Texas,9/5/2024,44%,48%,Emerson College,845
Florida,9/5/2024,45%,46%,Emerson College,815
California,9/5/2024,55%,33%,Emerson College,815
Wisconsin,9/5/2024,51%,45%,Marquette University Law School,738
Michigan,9/5/2024,53%,47%,ActiVote,400
Tennessee,9/2/2024,40%,60%,ActiVote,400
Ohio,9/1/2024,50%,45%,SoCal Strategies,600
Michigan,9/1/2024,44%,43%,Cygnal,600
Virginia,9/1/2024,55%,45%,ActiVote,400
Arizona,8/31/2024,49%,45%,InsiderAdvantage,800
Nevada,8/31/2024,49%,39%,InsiderAdvantage,800
Texas,8/31/2024,36%,44%,YouGov,1200
Maryland,8/30/2024,46%,41%,Gonzales Research & Marketing Strategies,820
Pennsylvania,8/29/2024,48%,46%,Wick,1607
Pennsylvania,8/29/2024,46%,46%,CNN/SSRS,789
Minnesota,8/29/2024,50%,36%,SurveyUSA,635
Nebraska,8/29/2024,42%,43%,Global Strategy Group,600
Michigan,8/29/2024,44%,35%,Glengariff Group,600
Michigan,8/29/2024,47%,41%,CNN/SSRS,708
Montana,8/29/2024,41%,49%,Fabrizio Ward/David Binder Research,600
Texas,8/29/2024,43%,47%,Lake Research Partners,800
Texas,8/29/2024,45%,55%,ActiVote,400
Wisconsin,8/29/2024,51%,45%,CNN/SSRS,976
Nevada,8/29/2024,50%,40%,CNN/SSRS,626
Arizona,8/29/2024,47%,44%,CNN/SSRS,682
Wisconsin,8/28/2024,46%,41%,Redfield & Wilton Strategies,672
Wisconsin,8/28/2024,49%,48%,Emerson College,850
Pennsylvania,8/28/2024,44%,38%,Redfield & Wilton Strategies,1071
Pennsylvania,8/28/2024,48%,44%,Emerson College,950
New Mexico,8/28/2024,43%,33%,Redfield & Wilton Strategies,488
Nevada,8/28/2024,43%,49%,Redfield & Wilton Strategies,490
Nevada,8/28/2024,50%,40%,Emerson College,1168
Minnesota,8/28/2024,41%,34%,Redfield & Wilton Strategies,426
Michigan,8/28/2024,42%,35%,Redfield & Wilton Strategies,761
Michigan,8/28/2024,47%,41%,Emerson College,800
Florida,8/28/2024,40%,43%,Redfield & Wilton Strategies,850
Arizona,8/28/2024,42%,37%,Redfield & Wilton Strategies,530
Arizona,8/28/2024,49%,42%,Emerson College,720
Nebraska Special,8/27/2024,33%,50%,SurveyUSA,1293
Nebraska,8/27/2024,38%,39%,SurveyUSA,1293
West Virginia,8/27/2024,28%,62%,Research America,400
Michigan,8/26/2024,46%,42%,EPIC-MRA,600
Nevada,8/26/2024,55%,41%,Beacon Research/Shaw & Company Research,1026
Arizona,8/26/2024,56%,41%,Beacon Research/Shaw & Company Research,1014
Florida,8/26/2024,44%,51%,Cherry Communications,600
Pennsylvania,8/23/2024,47%,41%,SoCal Strategies,713
Pennsylvania,8/23/2024,55%,45%,ActiVote,400
Florida,8/22/2024,43%,46%,Public Policy Polling,837
Texas,8/22/2024,40%,44%,Public Policy Polling,725
Michigan,8/22/2024,49%,39%,TIPP Insights,741
New Mexico,8/22/2024,49%,37%,Emerson College,965
Wisconsin,8/21/2024,48%,43%,Fabrizio Ward,400
Wisconsin,8/21/2024,49%,44%,BK Strategies,600
Pennsylvania,8/21/2024,46%,43%,Fabrizio Ward,400
Michigan,8/21/2024,43%,43%,Fabrizio Ward,400
Montana,8/20/2024,44%,51%,Public Opinion Strategies,500
Maryland,8/20/2024,46%,46%,"Fabrizio, Lee & Associates/Impact Research",600
Maine,8/19/2024,43%,33%,University of New Hampshire Survey Center,951
Vermont,8/19/2024,66%,25%,University of New Hampshire Survey Center,924
Virginia,8/16/2024,49%,38%,Roanoke College Institute for Policy and Opinion Research,691
Arizona,8/16/2024,47%,40%,Noble Predictive Insights,1003
Missouri,8/16/2024,42%,53%,YouGov,900
Texas,8/16/2024,45%,47%,University of Houston Hobby School of Public Affairs/Texas Southern University School of Public Affairs,1365
Pennsylvania,8/15/2024,42%,39%,Cygnal,800
Pennsylvania,8/15/2024,44%,36%,Redfield & Wilton Strategies,825
New Jersey,8/15/2024,38%,33%,National Research,600
Nevada,8/15/2024,49%,40%,The New York Times/Siena College,677
Nevada,8/15/2024,41%,37%,Redfield & Wilton Strategies,536
New Mexico,8/15/2024,42%,36%,Redfield & Wilton Strategies,453
Arizona,8/15/2024,44%,39%,Redfield & Wilton Strategies,592
Arizona,8/15/2024,49%,41%,The New York Times/Siena College,677
Pennsylvania,8/14/2024,48%,44%,Emerson College,1000
Wisconsin,8/14/2024,50%,43%,TIPP Insights,976
Nevada,8/14/2024,50%,38%,Strategies 360,350
Montana,8/14/2024,49%,44%,RMG Research,540
Arizona,8/13/2024,48%,46%,WPA Intelligence,600
Montana,8/12/2024,45%,51%,American Pulse Research & Polling,538
Pennsylvania,8/12/2024,52%,44%,Quinnipiac University,1738
Nebraska,8/12/2024,41%,43%,YouGov,500
Ohio,8/12/2024,53%,38%,ActiVote,400
California,8/12/2024,66%,34%,ActiVote,400
Florida,8/11/2024,43%,47%,Florida Atlantic University PolCom Lab/Mainstreet Research,1040
Wisconsin,8/11/2024,50%,41%,The Bullfinch Group,500
Pennsylvania,8/11/2024,51%,39%,The Bullfinch Group,500
Pennsylvania,8/11/2024,48%,36%,Franklin & Marshall College Center for Opinion Research,920
Michigan,8/11/2024,48%,38%,The Bullfinch Group,500
Michigan,8/11/2024,47%,44%,"Fabrizio, Lee & Associates/Impact Research",600
California,8/11/2024,53%,33%,University of California Berkeley Institute of Governmental Studies,3765
Pennsylvania,8/9/2024,51%,37%,The New York Times/Siena College,693
Utah,8/9/2024,22%,56%,HarrisX,800
Florida,8/8/2024,42%,52%,McLaughlin & Associates,800
Wisconsin,8/8/2024,51%,44%,The New York Times/Siena College,661
Michigan,8/8/2024,46%,43%,The New York Times/Siena College,619
Montana,8/6/2024,46%,48%,Emerson College,1000
Arizona,8/5/2024,46%,46%,Peak Insights,800
Arizona,8/5/2024,50%,39%,HighGround,500
New York,8/5/2024,63%,37%,ActiVote,400
Pennsylvania,8/3/2024,45%,40%,Redfield & Wilton Strategies,743
New Mexico,8/3/2024,40%,34%,Redfield & Wilton Strategies,493
Nevada,8/3/2024,41%,38%,Redfield & Wilton Strategies,470
Arizona,8/3/2024,42%,36%,Redfield & Wilton Strategies,567
North Dakota,8/2/2024,38%,51%,Lake Research Partners,500
Wisconsin,8/2/2024,50%,43%,BSG/GS Strategy Group,404
Pennsylvania,8/2/2024,53%,40%,BSG/GS Strategy Group,411
Nevada,8/2/2024,54%,36%,BSG/GS Strategy Group,403
Michigan,8/2/2024,50%,42%,BSG/GS Strategy Group,406
Arizona,8/2/2024,51%,42%,BSG/GS Strategy Group,435
New York,8/1/2024,56%,33%,Siena College,1199
Wisconsin,8/1/2024,51%,45%,Marquette University Law School,801
Ohio,7/28/2024,46%,42%,"Fabrizio, Lee & Associates/Impact Research",600
Pennsylvania,7/28/2024,47%,42%,Susquehanna Polling & Research,600
Florida,7/27/2024,43%,47%,University of North Florida Public Opinion Research Lab,774
Washington,7/25/2024,55%,32%,Public Policy Polling,581
Pennsylvania,7/25/2024,53%,42%,The Bullfinch Group,800
Minnesota,7/25/2024,55%,33%,SurveyUSA,656
Pennsylvania,7/24/2024,46%,39%,Redfield & Wilton Strategies,851
Pennsylvania,7/24/2024,55%,42%,Beacon Research/Shaw & Company Research,1034
Nevada,7/24/2024,45%,40%,Redfield & Wilton Strategies,435
Michigan,7/24/2024,46%,41%,Glengariff Group,600
Michigan,7/24/2024,51%,46%,Beacon Research/Shaw & Company Research,1012
Wisconsin,7/24/2024,54%,43%,Beacon Research/Shaw & Company Research,1046
Florida,7/24/2024,43%,49%,Targoz Market Research,988
Michigan,7/23/2024,45%,41%,Emerson College,800
Wisconsin,7/23/2024,49%,43%,Emerson College,845
Pennsylvania,7/23/2024,49%,41%,North Star Opinion Research,600
Arizona,7/23/2024,46%,42%,Emerson College,800
Pennsylvania,7/21/2024,50%,40%,SoCal Research,500
Arizona,7/20/2024,49%,42%,Public Policy Polling,736
Michigan,7/18/2024,46%,38%,Public Policy Polling,650
Pennsylvania,7/18/2024,50%,39%,Public Policy Polling,624
Pennsylvania,7/18/2024,44%,37%,Redfield & Wilton Strategies,688
Nevada,7/18/2024,41%,37%,Redfield & Wilton Strategies,412
Texas,7/18/2024,46%,54%,ActiVote,400
Michigan,7/17/2024,43%,40%,EPIC-MRA,600
Virginia,7/15/2024,44%,34%,Florida Atlantic University PolCom Lab/Mainstreet Research,265
Virginia,7/15/2024,49%,39%,Emerson College,1000
Virginia,7/13/2024,47%,34%,Florida Atlantic University PolCom Lab/Mainstreet Research,544
Washington,7/13/2024,58%,37%,SurveyUSA,564
Pennsylvania,7/12/2024,47%,44%,Public Policy Polling,537
Michigan,7/12/2024,45%,35%,Public Policy Polling,568
Virginia,7/12/2024,53%,36%,The New York Times/Siena College,661
Missouri,7/11/2024,51%,43%,Public Policy Polling,548
Arizona,7/11/2024,50%,47%,Public Policy Polling,596
Arizona,7/11/2024,43%,44%,J.L. Partners,513
Pennsylvania,7/11/2024,50%,42%,The New York Times/Siena College,872
Nebraska,7/11/2024,24%,50%,Torchlight Strategies,698
Nebraska,7/11/2024,42%,42%,Red Wave Strategy Group/Impact Research,500
Wisconsin,7/10/2024,49%,41%,North Star Opinion Research,600
Virginia,7/3/2024,49%,39%,Virginia Commonwealth University L. Douglas Wilder School of Government and Public Affairs,755
Wisconsin,7/2/2024,50%,38%,SoCal Research,490
Wisconsin,7/2/2024,50%,45%,"Fabrizio, Lee & Associates/Impact Research",600
California,7/2/2024,64%,33%,Public Policy Institute of California,1261
Wisconsin,7/1/2024,48%,48%,Remington Research Group,593
Texas,7/1/2024,43%,53%,Remington Research Group,589
Texas,7/1/2024,44%,47%,University of Houston Hobby School of Public Affairs/Texas Southern University School of Public Affairs,1484
Pennsylvania,7/1/2024,49%,48%,Remington Research Group,673
Ohio,7/1/2024,50%,44%,Remington Research Group,611
Nevada,7/1/2024,48%,46%,Remington Research Group,601
Nevada,7/1/2024,41%,33%,National Public Affairs,817
Montana,7/1/2024,45%,50%,Remington Research Group,570
Michigan,7/1/2024,47%,43%,Remington Research Group,584
Arizona,7/1/2024,47%,47%,Remington Research Group,638
Tennessee,7/1/2024,32%,52%,Targoz Market Research,944
Pennsylvania,6/28/2024,46%,42%,Cygnal,800
New Jersey,6/27/2024,39%,33%,co/efficient,810
Texas,6/27/2024,43%,46%,Manhattan Institute,600
Montana,6/26/2024,41%,47%,Torchlight Strategies,649
Michigan,6/26/2024,44%,42%,EPIC-MRA,600
New Mexico,6/24/2024,46%,42%,1892 Polling,600
Maryland,6/20/2024,45%,34%,Public Policy Polling,635
Arizona,6/20/2024,39%,38%,North Star Opinion Research,600
Wisconsin,6/20/2024,52%,47%,Marquette University Law School,784
Texas,6/20/2024,42%,45%,University of Texas at Tyler Center for Opinion Research,931
Missouri,6/19/2024,38%,47%,Emerson College,1000
North Dakota,6/19/2024,28%,65%,Public Opinion Strategies,500
Pennsylvania,6/19/2024,48%,36%,The Bullfinch Group,800
Wisconsin,6/18/2024,46%,44%,Emerson College,1000
Pennsylvania,6/18/2024,47%,41%,Emerson College,1000
Nevada,6/18/2024,50%,38%,Emerson College,1000
Nevada,6/18/2024,47%,42%,"Fabrizio, Lee & Associates/Impact Research",600
Minnesota,6/18/2024,48%,37%,Emerson College,1000
Michigan,6/18/2024,43%,39%,Emerson College,1000
Arizona,6/18/2024,45%,41%,Emerson College,1000
Minnesota,6/16/2024,49%,35%,SurveyUSA,626
New Mexico,6/14/2024,47%,40%,Public Policy Polling,555
Montana,6/13/2024,46%,46%,Public Opinion Strategies,500
Florida,6/9/2024,43%,45%,Florida Atlantic University PolCom Lab/Mainstreet Research,771
Florida,6/9/2024,33%,46%,The Tyson Group,1050
Texas,6/9/2024,34%,45%,YouGov,1200
Pennsylvania,6/6/2024,52%,46%,Marist College,1181
Ohio,6/6/2024,50%,45%,Marist College,1137
Nebraska,6/5/2024,36%,49%,Global Strategy Group,600
Montana,6/5/2024,43%,46%,"Fabrizio, Lee & Associates",500
West Virginia,6/4/2024,27%,60%,Kaplan Strategies,464
Arizona,6/4/2024,48%,45%,"Fabrizio, Lee & Associates/Impact Research",600
Michigan,6/3/2024,36%,33%,Mitchell Research & Communications,710
California,6/2/2024,62%,37%,Public Policy Institute of California,1098
Wisconsin,5/31/2024,47%,39%,Florida Atlantic University PolCom Lab/Mainstreet Research,290
Pennsylvania,5/31/2024,49%,42%,Florida Atlantic University PolCom Lab/Mainstreet Research,923
Michigan,5/31/2024,43%,42%,Florida Atlantic University PolCom Lab/Mainstreet Research,636
Massachusetts,5/30/2024,47%,24%,University of Massachusetts Department of Political Science/YouGov,700
Ohio,5/29/2024,54%,46%,National Public Affairs,405
Nevada,5/25/2024,47%,33%,The Tyson Group,601
Michigan,5/21/2024,40%,36%,Mitchell Research & Communications,697
Nevada,5/21/2024,48%,37%,Florida Atlantic University PolCom Lab/Mainstreet Research,494
Arizona,5/21/2024,48%,39%,Florida Atlantic University PolCom Lab/Mainstreet Research,501
Wisconsin,5/19/2024,46%,42%,KAConsulting,600
Pennsylvania,5/19/2024,47%,37%,KAConsulting,600
Michigan,5/19/2024,43%,37%,KAConsulting,600
New Mexico,5/19/2024,41%,38%,Red Oak Strategies,1800
Washington,5/16/2024,39%,30%,Elway Research,403
Arizona,5/16/2024,49%,36%,YouGov,1183
Florida,5/16/2024,37%,45%,YouGov,1163
Arizona,5/14/2024,46%,36%,Noble Predictive Insights,1003
Wisconsin,5/13/2024,49%,37%,BSG/GS Strategy Group,503
Pennsylvania,5/13/2024,49%,41%,BSG/GS Strategy Group,730
Arizona,5/13/2024,46%,41%,BSG/GS Strategy Group,527
Minnesota,5/11/2024,48%,34%,SurveyUSA,625
Wisconsin,5/9/2024,49%,42%,The New York Times/Siena College,614
Pennsylvania,5/9/2024,46%,44%,The New York Times/Siena College,1023
Nevada,5/9/2024,41%,41%,The New York Times/Siena College,614
Arizona,5/9/2024,46%,43%,The New York Times/Siena College,626
Tennessee,5/9/2024,40%,51%,SSRS,1003
Maryland,5/8/2024,48%,38%,Emerson College,1115
Maryland,5/7/2024,46%,37%,Public Policy Polling,719
Florida,5/7/2024,39%,54%,Cherry Communications,609
Wisconsin,5/6/2024,54%,42%,Quinnipiac University,1457
Pennsylvania,4/30/2024,48%,44%,"Fabrizio, Lee & Associates/Impact Research",600
Maine,4/30/2024,57%,28%,Digital Research,609
Arizona,4/29/2024,48%,44%,Data Orbital,550
Arizona,4/29/2024,45%,43%,Emerson College,1000
Wisconsin,4/29/2024,46%,43%,Emerson College,1000
Nevada,4/29/2024,45%,37%,Emerson College,1000
Michigan,4/29/2024,42%,40%,Emerson College,1000
Pennsylvania,4/29/2024,46%,42%,Emerson College,1000
Virginia,4/28/2024,48%,36%,"Fabrizio, Lee & Associates/Impact Research",500
Nebraska,4/25/2024,33%,37%,Public Policy Polling,737
Michigan,4/25/2024,40%,37%,Glengariff Group,600
Wisconsin,4/25/2024,48%,41%,YouGov,1245
Pennsylvania,4/25/2024,46%,39%,YouGov,1306
Pennsylvania,4/25/2024,45%,41%,Muhlenberg College Institute of Public Opinion,417
Texas,4/22/2024,33%,46%,YouGov,1200
Texas,4/21/2024,31%,41%,Texas Lyceum,926
Florida,4/17/2024,36%,53%,Florida Atlantic University PolCom Lab/Mainstreet Research,815
Arizona,4/11/2024,39%,34%,The Tyson Group,600
Florida,4/10/2024,38%,45%,Emerson College,1000
Maryland,4/10/2024,36%,54%,OpinionWorks,1292
Texas,4/10/2024,41%,46%,Texas Hispanic Policy Foundation,1600
Wisconsin,4/10/2024,50%,50%,Marquette University Law School,707
New Jersey,4/8/2024,44%,38%,Fairleigh Dickinson University,809
Florida,4/7/2024,26%,36%,Ipsos,1014
Minnesota,4/7/2024,51%,34%,SurveyUSA,608
Texas,4/6/2024,36%,45%,Cygnal,1000
Tennessee,4/2/2024,29%,45%,Targoz Market Research,955
Arizona,3/31/2024,36%,28%,RABA Research,503
Pennsylvania,3/31/2024,46%,39%,Franklin & Marshall College Center for Opinion Research,431
Montana,3/29/2024,45%,48%,J.L. Partners,503
Pennsylvania,3/26/2024,47%,30%,The Bullfinch Group,800
California,3/25/2024,61%,37%,Public Policy Institute of California,1084
Maryland,3/24/2024,40%,44%,Goucher College Sarah T. Hughes Center for Politics,800
Texas,3/21/2024,45%,51%,Marist College,1117
Wisconsin,3/18/2024,45%,42%,Emerson College,1000
Michigan,3/18/2024,41%,39%,Emerson College,1000
Michigan,3/16/2024,37%,37%,Mitchell Research & Communications,627
Nevada,3/15/2024,41%,39%,Emerson College,1000
Arizona,3/15/2024,51%,49%,Emerson College,1000
Ohio,3/13/2024,47%,36%,Florida Atlantic University PolCom Lab/Mainstreet Research,705
Pennsylvania,3/13/2024,52%,48%,Emerson College,1000
Maryland,3/12/2024,36%,50%,The Washington Post/University of Maryland Center for Democracy and Civic Engagement,1004
Ohio,3/11/2024,45%,41%,East Carolina University Center for Survey Research,1298
Ohio,3/11/2024,43%,37%,SurveyUSA,1241
Florida,3/11/2024,37%,48%,Big Data Poll,1318
Ohio,3/10/2024,39%,34%,Emerson College,1300
Missouri,3/8/2024,39%,53%,Remington Research Group,713
Pennsylvania,3/6/2024,48%,42%,Susquehanna Polling & Research,450
Nevada,3/5/2024,41%,35%,Noble Predictive Insights,829
Montana,3/2/2024,44%,42%,Emerson College,1000
Florida,3/1/2024,41%,44%,Public Policy Polling,790
Minnesota,2/28/2024,49%,33%,SurveyUSA,1603
Arizona,2/26/2024,42%,45%,Rasmussen Reports,1001
Texas,2/26/2024,41%,41%,University of Texas at Tyler Center for Opinion Research,1167
Wisconsin,2/24/2024,46%,39%,Emerson College,1000
Arizona,2/19/2024,46%,39%,Emerson College,1000
Nevada,2/19/2024,40%,38%,Emerson College,1000
Michigan,2/18/2024,39%,38%,EPIC-MRA,600
Pennsylvania,2/16/2024,46%,39%,Emerson College,1000
Montana,2/15/2024,49%,40%,SurveyUSA,549
Maryland,2/13/2024,37%,44%,Emerson College,1000
Arizona,2/13/2024,47%,37%,Noble Predictive Insights,1002
Texas,2/12/2024,32%,46%,YouGov,1200
Texas,2/8/2024,44%,44%,National Public Affairs,807
Pennsylvania,2/8/2024,38%,37%,Chism Strategies,500
Massachusetts,2/5/2024,56%,33%,Suffolk University,1000
Maryland,2/1/2024,29%,52%,Ragnar Research Partners,600
Arizona,2/1/2024,44%,46%,J.L. Partners,500
Missouri,1/28/2024,30%,43%,Emerson College,1830
Pennsylvania,1/28/2024,47%,35%,Franklin & Marshall College Center for Opinion Research,1006
Ohio,1/25/2024,39%,37%,Emerson College,1844
Pennsylvania,1/25/2024,47%,40%,Public Opinion Strategies,800
Texas,1/24/2024,39%,48%,University of Houston Hobby School of Public Affairs,1145
Pennsylvania,1/21/2024,46%,42%,Susquehanna Polling & Research,745
Texas,1/15/2024,40%,42%,Emerson College,1315
Pennsylvania,1/8/2024,53%,43%,Quinnipiac University,1680
Arizona,1/6/2024,45%,46%,Public Policy Polling,590
Michigan,1/6/2024,38%,37%,Glengariff Group,600
